Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      220     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >::__normal_iterator(Gate** const&)
  0.00      0.00     0.00      126     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >::__normal_iterator(Wire** const&)
  0.00      0.00     0.00      105     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       98     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::begin()
  0.00      0.00     0.00       94     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >::operator*() const
  0.00      0.00     0.00       94     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >::operator+(int const&) const
  0.00      0.00     0.00       94     0.00     0.00  std::vector<Gate*, std::allocator<Gate*> >::operator[](unsigned int)
  0.00      0.00     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::__normal_iterator(std::vector<double, std::allocator<double> >* const&)
  0.00      0.00     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.00     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       56     0.00     0.00  Gate::get_gateName()
  0.00      0.00     0.00       50     0.00     0.00  Wire::get_type()
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<Wire* const*, std::vector<Wire*, std::allocator<Wire*> > >::__normal_iterator(Wire* const* const&)
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<Wire* const*, std::vector<Wire*, std::allocator<Wire*> > >::base() const
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >::base() const
  0.00      0.00     0.00       48     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::begin()
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >::operator*() const
  0.00      0.00     0.00       43     0.00     0.00  __gnu_cxx::__normal_iterator<Wire**, std::vector<Wire*, std::allocator<Wire*> > >::operator+(int const&) const
  0.00      0.00     0.00       43     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::operator[](unsigned int)
  0.00      0.00     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<Gate**, std::vector<Gate*, std::allocator<Gate*> > >::base() const
  0.00      0.00     0.00       39     0.00     0.00  Wire::get_charge()
  0.00      0.00     0.00       36     0.00     0.00  Wire::set_charge(bool)
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::operator*() const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::operator+(int const&) const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(int const&) const
  0.00      0.00     0.00       30     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::begin()
  0.00      0.00     0.00       30     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned int)
  0.00      0.00     0.00       30     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      0.00     0.00       30     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned int)
  0.00      0.00     0.00       28     0.00     0.00  Wire::get_sourceGatepointer()
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00       26     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00       25     0.00     0.00  __gnu_cxx::__normal_iterator<Wire* const*, std::vector<Wire*, std::allocator<Wire*> > >::difference_type __gnu_cxx::operator-<Wire* const*, Wire* const*, std::vector<Wire*, std::allocator<Wire*> > >(__gnu_cxx::__normal_iterator<Wire* const*, std::vector<Wire*, std::allocator<Wire*> > > const&, __gnu_cxx::__normal_iterator<Wire* const*, std::vector<Wire*, std::allocator<Wire*> > > const&)
  0.00      0.00     0.00       25     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::end() const
  0.00      0.00     0.00       25     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::size() const
  0.00      0.00     0.00       25     0.00     0.00  std::vector<Wire*, std::allocator<Wire*> >::begin() const
  0.00      0.00     0.00       25     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00       22     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00       22     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::~new_allocator()
  0.00      0.00     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.00     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<Wire*>::new_allocator(__gnu_cxx::new_allocator<Wire*> const&)
  0.00      0.00     0.00       19     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.00     0.00       19     0.00     0.00  std::allocator<Wire*>::~allocator()
  0.00      0.00     0.00       17     0.00     0.00  std::allocator<Wire*>::allocator(std::allocator<Wire*> const&)
  0.00      0.00     0.00       17     0.00     0.00  std::_Vector_base<Wire*, std::allocator<Wire*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  NOT::gateOutput(Wire*)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
